dimension,points,threads,type,rep,time_ms
3,200000,4,parallel,7,254.19
3,200000,4,parallel,8,265.187
3,200000,4,parallel,9,259.712
3,200000,4,parallel,10,264.375
3,200000,8,parallel,1,256.468
3,200000,8,parallel,2,265.933
3,200000,8,parallel,3,267.504
3,200000,8,parallel,4,259.867
3,200000,8,parallel,5,270.002
3,200000,8,parallel,6,270.656
3,200000,8,parallel,7,260.11
3,200000,8,parallel,8,267.553
3,200000,8,parallel,9,260.186
3,200000,8,parallel,10,278.49
3,300000,1,serial,1,1187.72
3,300000,1,serial,2,1200.05
3,300000,1,serial,3,1218.55
3,300000,1,serial,4,1210.53
3,300000,1,serial,5,1219.88
3,300000,1,serial,6,1182.36
3,300000,1,serial,7,1348.87
3,300000,1,serial,8,1211.56
3,300000,1,serial,9,1190.09
3,300000,1,serial,10,1197.1
3,300000,1,parallel,1,1291.95
3,300000,1,parallel,2,1285.68
3,300000,1,parallel,3,1220.33
3,300000,1,parallel,4,1273.31
3,300000,1,parallel,5,1183.97
3,300000,1,parallel,6,1277.59
3,300000,1,parallel,7,1176.54
3,300000,1,parallel,8,1179.16
3,300000,1,parallel,9,1154.79
3,300000,1,parallel,10,1178.38
3,300000,2,parallel,1,801.152
3,300000,2,parallel,2,788.997
3,300000,2,parallel,3,801.036
3,300000,2,parallel,4,846.671
3,300000,2,parallel,5,830.944
3,300000,2,parallel,6,836.043
3,300000,2,parallel,7,1065.64
3,300000,2,parallel,8,836.35
3,300000,2,parallel,9,832.769
3,300000,2,parallel,10,855.079
3,300000,4,parallel,1,754.385
3,300000,4,parallel,2,802.285
3,300000,4,parallel,3,801.592
3,300000,4,parallel,4,795.32
3,300000,4,parallel,5,768.385
3,300000,4,parallel,6,827.311
3,300000,4,parallel,7,778.104
3,300000,4,parallel,8,799.493
3,300000,4,parallel,9,784.221
3,300000,4,parallel,10,819.272
3,300000,8,parallel,1,852.776
3,300000,8,parallel,2,934.939
3,300000,8,parallel,3,809.277
3,300000,8,parallel,4,823.727
3,300000,8,parallel,5,839.229
3,300000,8,parallel,6,834.893
3,300000,8,parallel,7,846.714
3,300000,8,parallel,8,824.032
3,300000,8,parallel,9,790.682
3,300000,8,parallel,10,811.824
3,400000,1,serial,1,3954.1
3,400000,1,serial,2,3878.06
3,400000,1,serial,3,3868.7
3,400000,1,serial,4,3873.35
3,400000,1,serial,5,3973.14
3,400000,1,serial,6,3800.36
3,400000,1,serial,7,3910.47
3,400000,1,serial,8,3996.32
3,400000,1,serial,9,3856.2
3,400000,1,serial,10,3835.95
3,400000,1,parallel,1,3835.58
3,400000,1,parallel,2,3772.85
3,400000,1,parallel,3,3772.49
3,400000,1,parallel,4,3809.98
3,400000,1,parallel,5,3932.55
3,400000,1,parallel,6,3781.33
3,400000,1,parallel,7,3771.31
3,400000,1,parallel,8,3856.69
3,400000,1,parallel,9,3890.27
3,400000,1,parallel,10,3772.55
3,400000,2,parallel,1,2569.48
3,400000,2,parallel,2,2597.4
3,400000,2,parallel,3,2587.19
3,400000,2,parallel,4,2576.12
3,400000,2,parallel,5,2577.96
3,400000,2,parallel,6,2570.75
3,400000,2,parallel,7,2904.42
3,400000,2,parallel,8,2604.9
3,400000,2,parallel,9,2584.59
3,400000,2,parallel,10,2587.35
3,400000,4,parallel,1,2563.84
3,400000,4,parallel,2,2613.38
3,400000,4,parallel,3,2580.86
3,400000,4,parallel,4,2651.03
3,400000,4,parallel,5,2575.55
3,400000,4,parallel,6,2622.15
3,400000,4,parallel,7,2514.65
3,400000,4,parallel,8,2577.09
3,400000,4,parallel,9,2768.27
3,400000,4,parallel,10,2568.62
3,400000,8,parallel,1,2788.17
3,400000,8,parallel,2,2677.42
3,400000,8,parallel,3,2673.87
3,400000,8,parallel,4,2770.77
3,400000,8,parallel,5,2605.29
3,400000,8,parallel,6,2699.73
3,400000,8,parallel,7,2846.49
3,400000,8,parallel,8,2649.69
3,400000,8,parallel,9,2626.66
3,400000,8,parallel,10,2637.0
3,600000,1,serial,1,6280.23
3,600000,1,serial,2,6204.73
3,600000,1,serial,3,6118.33
3,600000,1,serial,4,6081.84
3,600000,1,serial,5,6035.34
3,600000,1,serial,6,6061.4
3,600000,1,serial,7,6323.79
3,600000,1,serial,8,6061.45
3,600000,1,serial,9,5995.98
3,600000,1,serial,10,6039.28
3,600000,1,parallel,1,5869.23
3,600000,1,parallel,2,6039.43
3,600000,1,parallel,3,5910.73
3,600000,1,parallel,4,5889.72
3,600000,1,parallel,5,5940.36
3,600000,1,parallel,6,5821.09
3,600000,1,parallel,7,5854.31
3,600000,1,parallel,8,5859.15
3,600000,1,parallel,9,5782.89
3,600000,1,parallel,10,6007.13
3,600000,2,parallel,1,4507.39
3,600000,2,parallel,2,3934.57
3,600000,2,parallel,3,4333.65
3,600000,2,parallel,4,4144.41
3,600000,2,parallel,5,4089.06
3,600000,2,parallel,6,4025.11
3,600000,2,parallel,7,4455.4
3,600000,2,parallel,8,4032.7
3,600000,2,parallel,9,4051.45
3,600000,2,parallel,10,4631.97
3,600000,4,parallel,1,4027.01
3,600000,4,parallel,2,4119.07
3,600000,4,parallel,3,4451.39
3,600000,4,parallel,4,6625.05
3,600000,4,parallel,5,7448.08
3,600000,4,parallel,6,6665.43
3,600000,4,parallel,7,5895.25
3,600000,4,parallel,8,4184.15
3,600000,4,parallel,9,4060.56
3,600000,4,parallel,10,4025.99
3,600000,8,parallel,1,4264.35
3,600000,8,parallel,2,4135.9
3,600000,8,parallel,3,4125.36
3,600000,8,parallel,4,4481.53
3,600000,8,parallel,5,4262.24
3,600000,8,parallel,6,4369.39
3,600000,8,parallel,7,4178.31
3,600000,8,parallel,8,4217.37
3,600000,8,parallel,9,4318.74
3,600000,8,parallel,10,4146.8
3,800000,1,serial,1,1952.09
3,800000,1,serial,2,1881.31
3,800000,1,serial,3,1929.07
3,800000,1,serial,4,1955.71
3,800000,1,serial,5,1942.0
3,800000,1,serial,6,1936.88
3,800000,1,serial,7,1957.82
3,800000,1,serial,8,1862.41
3,800000,1,serial,9,1900.75
3,800000,1,serial,10,1923.45
3,800000,1,parallel,1,1843.81
3,800000,1,parallel,2,2246.98
3,800000,1,parallel,3,2040.23
3,800000,1,parallel,4,2072.03
3,800000,1,parallel,5,2132.79
3,800000,1,parallel,6,2022.13
3,800000,1,parallel,7,2310.45
3,800000,1,parallel,8,2109.49
3,800000,1,parallel,9,3434.44
3,800000,1,parallel,10,2678.64
3,800000,2,parallel,1,2261.13
3,800000,2,parallel,2,2200.68
3,800000,2,parallel,3,2185.65
3,800000,2,parallel,4,2066.88
3,800000,2,parallel,5,1274.88
3,800000,2,parallel,6,1267.59
3,800000,2,parallel,7,1273.53
3,800000,2,parallel,8,1259.66
3,800000,2,parallel,9,1259.42
3,800000,2,parallel,10,1265.65
3,800000,4,parallel,1,1234.73
3,800000,4,parallel,2,1209.65
3,800000,4,parallel,3,1192.61
3,800000,4,parallel,4,1225.43
3,800000,4,parallel,5,1197.05
3,800000,4,parallel,6,1180.63
3,800000,4,parallel,7,1197.69
3,800000,4,parallel,8,1178.75
3,800000,4,parallel,9,1199.68
3,800000,4,parallel,10,1190.75
3,800000,8,parallel,1,1234.67
3,800000,8,parallel,2,1225.49
3,800000,8,parallel,3,1250.19
3,800000,8,parallel,4,1249.38
3,800000,8,parallel,5,1216.09
3,800000,8,parallel,6,1224.72
3,800000,8,parallel,7,1254.15
3,800000,8,parallel,8,1227.38
3,800000,8,parallel,9,1268.43
3,800000,8,parallel,10,1206.0
3,1000000,1,serial,1,6201.25
3,1000000,1,serial,2,5993.25
3,1000000,1,serial,3,5930.1
3,1000000,1,serial,4,5932.53
3,1000000,1,serial,5,5911.13
3,1000000,1,serial,6,5801.63
3,1000000,1,serial,7,6444.39
3,1000000,1,serial,8,5893.07
3,1000000,1,serial,9,5875.74
3,1000000,1,serial,10,5854.5
3,1000000,1,parallel,1,5806.65
3,1000000,1,parallel,2,5871.96
3,1000000,1,parallel,3,5785.88
3,1000000,1,parallel,4,5743.58
3,1000000,1,parallel,5,5730.75
3,1000000,1,parallel,6,5748.47
3,1000000,1,parallel,7,5872.66
3,1000000,1,parallel,8,5950.92
3,1000000,1,parallel,9,5888.95
3,1000000,1,parallel,10,5810.08
3,1000000,2,parallel,1,3907.44
3,1000000,2,parallel,2,4846.11
3,1000000,2,parallel,3,4557.0
3,1000000,2,parallel,4,5608.58
3,1000000,2,parallel,5,7881.26
3,1000000,2,parallel,6,6404.74
3,1000000,2,parallel,7,6969.09
3,1000000,2,parallel,8,6910.52
3,1000000,2,parallel,9,5589.06
3,1000000,2,parallel,10,5491.13
3,1000000,4,parallel,1,4985.01
3,1000000,4,parallel,2,5168.37
3,1000000,4,parallel,3,5665.88
3,1000000,4,parallel,4,4977.08
3,1000000,4,parallel,5,4525.95
3,1000000,4,parallel,6,5814.65
3,1000000,4,parallel,7,4814.62
3,1000000,4,parallel,8,4509.38
3,1000000,4,parallel,9,4374.52
3,1000000,4,parallel,10,4156.31
3,1000000,8,parallel,1,4197.87
3,1000000,8,parallel,2,4175.65
3,1000000,8,parallel,3,4189.97
3,1000000,8,parallel,4,4352.73
3,1000000,8,parallel,5,4394.34
3,1000000,8,parallel,6,4154.26
3,1000000,8,parallel,7,4547.24
3,1000000,8,parallel,8,4183.15
3,1000000,8,parallel,9,4759.33
3,1000000,8,parallel,10,4414.88
